(-0.005870652, 0.01491681, 0.001852769)
(-0.01108678, 0.03033982, 0.004470792)
(-0.01673831, 0.04582413, 0.006409869)
(-0.02212203, 0.06028584, 0.008834306)
(-0.02904497, 0.07623702, 0.01139441)
(-0.0337562, 0.09115957, 0.0129912)
(-0.03978556, 0.1066593, 0.01536247)
(-0.04625722, 0.1211293, 0.01818106)
(-0.05131509, 0.1363009, 0.02066776)
(-0.05650539, 0.1512476, 0.02388971)
(-0.06327586, 0.1654354, 0.02708182)
(-0.06934578, 0.1797568, 0.02945392)
(-0.07625132, 0.1945688, 0.03173646)
(-0.08248821, 0.2095835, 0.03513069)
(-0.08891697, 0.2238724, 0.03767638)
(-0.0942823, 0.2387384, 0.03973973)
(-0.1000568, 0.2528936, 0.04210372)
(-0.1073095, 0.2665124, 0.04557131)
(-0.1144103, 0.2811168, 0.04879872)
(-0.1214827, 0.2955046, 0.05165205)
(-0.1291296, 0.3101757, 0.05512818)
(-0.1360995, 0.3249792, 0.05900747)
(-0.1426293, 0.3390389, 0.06223158)
(-0.15086, 0.3530731, 0.06620896)
(-0.1583437, 0.3672321, 0.06995625)
(-0.1653167, 0.381332, 0.07313043)
(-0.1732816, 0.3947387, 0.07702342)
(-0.1805974, 0.4084514, 0.08069828)
(-0.1875638, 0.4220788, 0.08297938)
(-0.1950325, 0.435572, 0.08617764)
(-0.2031906, 0.4492268, 0.09000421)
(-0.2106251, 0.4625943, 0.09358549)
(-0.2188102, 0.4767701, 0.09827244)
(-0.2271884, 0.4902298, 0.1025855)
(-0.2355341, 0.5038308, 0.1065743)
(-0.2429518, 0.5171999, 0.1107145)
(-0.2530436, 0.5310736, 0.1163703)
(-0.2624465, 0.5450387, 0.1212312)
(-0.2713591, 0.5595091, 0.1251552)
(-0.2801339, 0.5738896, 0.1308189)
(-0.2868561, 0.5837612, 0.1334069)
(-0.288893, 0.5890529, 0.1354539)
(-0.2937826, 0.5949089, 0.1372855)
(-0.2912329, 0.5922914, 0.1367288)
(-0.2873624, 0.5881773, 0.1337639)
(-0.2854764, 0.5896502, 0.1329358)
(-0.2876161, 0.5933772, 0.1346652)
(-0.2855034, 0.5910391, 0.1337407)
(-0.2843276, 0.5916909, 0.1335773)
(-0.287779, 0.5958767, 0.1353153)
(-0.2920239, 0.6060415, 0.138952)
(-0.2961255, 0.6039718, 0.1400908)
(-0.29562, 0.603275, 0.1395384)
(-0.2915395, 0.5983068, 0.1376089)
(-0.296237, 0.6039152, 0.141225)
(-0.294697, 0.6016068, 0.1402165)
(-0.2931669, 0.5990529, 0.138705)
(-0.2894886, 0.5954316, 0.1357654)
